model,vibe_features,cv_mae,cv_std,test_mae,test_rmse,test_r2
XGBoost,yes,0.2417293405053734,0.0018282385408620947,0.24136823162413146,0.29710719186405377,0.264032157575376
LightGBM,yes,0.24370157623445596,0.0018102134181602002,0.2430681682457008,0.29855331525637707,0.25685030199676473
RandomForest,yes,0.24660557681788492,0.0020046371304609646,0.24673783794776433,0.30092126305641165,0.2450151073571536
XGBoost,no,0.24230373009026898,0.0013685524386871195,0.24120374621586688,0.2968809033777862,0.26515281457370077
LightGBM,no,0.24439921876136922,0.0019854028507447895,0.24386644773900512,0.2987173264448845,0.25603357454546904
RandomForest,no,0.2480197306631861,0.0020764982649342043,0.24791968341706333,0.30230378313544043,0.23806192975968976
