Metric,Value
Total Listings,"96,871"
Neighborhoods,33
Mean Price (£),£229.92
Median Price (£),£135.00
Mean occ_90,0.598
High-Demand %,47.6%
Vibe Match Rate %,100.00%
Bedrooms Missing %,13.2%
Bathrooms Missing %,36.0%
Review Scores Missing %,24.9%
