model,vibe_features,cv_mae,cv_std,test_mae,test_rmse,test_r2
XGBoost,yes,0.23270195882149752,0.0018318088408439146,0.22873655151962585,0.2907872095747972,0.37258896647344875
LightGBM,yes,0.23406535006861612,0.0030671315820537197,0.23088988251327855,0.2920811700284346,0.36699276874169773
RandomForest,yes,0.23828886794069426,0.0020889833425763575,0.23390026061934055,0.2924355296686458,0.3654558789443514
XGBoost,no,0.233074065946672,0.0016442803583066189,0.22942393083149587,0.29127093565986434,0.37049982702147466
LightGBM,no,0.23412610908944081,0.002068082402042586,0.23068026985621132,0.29242234725406596,0.36551308563977325
RandomForest,no,0.23875014816564857,0.0017422631932973184,0.2339795403272536,0.2922554958044394,0.3662369349623724
