model,vibe_features,cv_mae,cv_std,test_mae,test_rmse,test_r2
XGBoost,yes,0.22447877618546527,0.001778216499362501,0.22449527457037155,0.28903537362403053,0.10774560924461518
LightGBM,yes,0.2251018906846451,0.0012210687274937452,0.2254104620349527,0.2887265073354687,0.10965153550481133
RandomForest,yes,0.22575889879190977,0.0014804764711477052,0.22631370821564917,0.2864397426784488,0.12369911715582627
XGBoost,no,0.2257571078224853,0.0021327211244326154,0.22517139242913914,0.28934331285586795,0.10584337497192309
LightGBM,no,0.22512249435172538,0.0016752157391095892,0.22558494525001688,0.28901785649934814,0.10785375696087374
RandomForest,no,0.22621004738138684,0.0015170353597612955,0.22663210525315794,0.28698238366770096,0.12037578505875246
